storm,plan,river,removal_k10_g,removal_km_g,removal_k90_g,order,percentRest,k10_percentWLR,km_percentWLR,k90_percentWLR,k10_percentOLR,km_percentOLR,k90_percentOLR,rank
Q2,1st-100p,1-7,77.908,709.308,15116.4,1st,100,0.002,0.018,0.379,0.055,0.5,10.653,1
Q2,1st-100p,2-2,10.922,99.438,2119.163,2nd,100,0,0.002,0.053,0.009,0.082,1.757,1
Q2,1st-100p,3-1,91.637,834.308,17780.344,3rd,100,0.002,0.021,0.446,0.013,0.123,2.613,1
Q2,1st-100p,4-1,681.734,6203.851,132213.218,4th,100,0.017,0.156,3.317,0.019,0.171,3.652,1
Q2,1st-20p,1-7,18.627,169.586,3614.13,1st,20,0,0.004,0.091,0.013,0.12,2.547,1
Q2,1st-20p,2-2,29.004,264.062,5627.554,2nd,20,0.001,0.007,0.141,0.024,0.219,4.667,1
Q2,1st-20p,3-1,99.845,909.041,19373.006,3rd,20,0.003,0.023,0.486,0.015,0.134,2.847,1
Q2,1st-20p,4-1,695.832,6332.207,134948.677,4th,20,0.017,0.159,3.385,0.019,0.175,3.728,1
Q2,1st-40p,1-7,31.664,288.28,6143.67,1st,40,0.001,0.007,0.154,0.022,0.203,4.33,1
Q2,1st-40p,2-2,24.808,225.865,4813.526,2nd,40,0.001,0.006,0.121,0.021,0.187,3.992,1
Q2,1st-40p,3-1,96.182,875.689,18662.231,3rd,40,0.002,0.022,0.468,0.014,0.129,2.743,1
Q2,1st-40p,4-1,692.751,6304.153,134350.808,4th,40,0.017,0.158,3.37,0.019,0.174,3.711,1
Q2,1st-60p,1-7,45.774,416.746,8881.47,1st,60,0.001,0.01,0.223,0.032,0.294,6.259,1
Q2,1st-60p,2-2,22.832,207.872,4430.059,2nd,60,0.001,0.005,0.111,0.019,0.172,3.674,1
Q2,1st-60p,3-1,95.888,873.013,18605.194,3rd,60,0.002,0.022,0.467,0.014,0.128,2.734,1
Q2,1st-60p,4-1,693.152,6307.804,134428.612,4th,60,0.017,0.158,3.372,0.019,0.174,3.713,1
Q2,1st-80p,1-7,68.453,623.225,13281.84,1st,80,0.002,0.016,0.333,0.048,0.439,9.36,1
Q2,1st-80p,2-2,19.989,181.987,3878.404,2nd,80,0.001,0.005,0.097,0.017,0.151,3.216,1
Q2,1st-80p,3-1,96.77,881.042,18776.306,3rd,80,0.002,0.022,0.471,0.014,0.129,2.759,1
Q2,1st-80p,4-1,692.603,6302.808,134322.142,4th,80,0.017,0.158,3.369,0.019,0.174,3.71,1
Q2,unr,1-7,12.735,115.949,2471.04,1st,0,0,0.003,0.062,0.009,0.082,1.741,1
Q2,unr,2-2,30.98,282.056,6011.021,2nd,0,0.001,0.007,0.151,0.026,0.234,4.985,1
Q2,unr,3-1,98.24,894.424,19061.494,3rd,0,0.002,0.022,0.478,0.014,0.131,2.801,1
