"","river","STA","ti_tot_min","removal_g"
"1","2-1",122000,585,38.025
"2","2-1",122050,540,70.2
"3","2-1",122100,495,64.35
"4","2-1",122150,450,58.5
"5","2-1",122200,405,52.65
"6","2-1",122250,345,44.85
"7","2-1",122300,255,33.15
"8","2-1",122350,255,33.15
"9","2-1",122400,255,33.15
"10","2-1",122450,255,33.15
"11","2-1",122500,255,33.15
"12","2-1",122550,255,33.15
"13","2-1",122600,255,33.15
"14","2-1",122650,240,31.2
"15","2-1",122700,240,31.2
"16","2-1",122750,240,31.2
"17","2-1",122800,240,31.2
"18","2-1",122850,240,31.2
"19","2-1",122900,240,31.2
"20","2-1",122950,255,33.15
"21","2-1",123000,255,33.15
"22","2-1",123050,255,33.15
"23","2-1",123100,255,33.15
"24","2-1",123150,255,33.15
"25","2-1",123200,255,33.15
"26","2-1",123250,255,33.15
"27","2-1",123300,255,33.15
"28","2-1",123350,255,33.15
"29","2-1",123400,255,33.15
"30","2-1",123450,255,33.15
"31","2-1",123500,255,33.15
"32","2-1",123550,255,33.15
"33","2-1",123600,255,33.15
"34","2-1",123650,255,33.15
"35","2-1",123700,255,33.15
"36","2-1",123750,255,33.15
"37","2-1",123800,255,33.15
"38","2-1",123850,255,33.15
"39","2-1",123900,255,33.15
"40","2-1",123950,255,33.15
"41","2-1",124000,240,31.2
"42","2-1",124050,240,31.2
"43","2-1",124100,240,31.2
"44","2-1",124150,240,31.2
"45","2-1",124200,240,31.2
"46","2-1",124250,240,31.2
"47","2-1",124300,240,31.2
"48","2-1",124350,240,31.2
"49","2-1",124400,240,31.2
"50","2-1",124450,240,31.2
"51","2-1",124500,240,31.2
"52","2-1",124550,240,31.2
"53","2-1",124600,240,31.2
"54","2-1",124650,240,31.2
"55","2-1",124700,240,31.2
"56","2-1",124750,240,31.2
"57","2-1",124800,240,31.2
"58","2-1",124850,240,31.2
"59","2-1",124900,240,31.2
"60","2-1",124950,240,31.2
"61","2-1",125000,240,31.2
"62","2-1",125050,240,31.2
"63","2-1",125100,240,31.2
"64","2-1",125150,240,31.2
"65","2-1",125200,240,31.2
"66","2-1",125250,240,31.2
"67","2-1",125300,225,29.25
"68","2-1",125350,225,29.25
"69","2-1",125400,225,29.25
"70","2-1",125450,225,29.25
"71","2-1",125500,225,29.25
"72","2-1",125550,225,29.25
"73","2-1",125600,225,29.25
"74","2-1",125650,225,29.25
"75","2-1",125700,225,29.25
"76","2-1",125750,225,29.25
"77","2-1",125800,240,31.2
"78","2-1",125850,225,29.25
"79","2-1",125900,240,31.2
"80","2-1",125950,240,31.2
"81","2-1",126000,240,31.2
"82","2-1",126050,240,31.2
"83","2-1",126100,240,31.2
"84","2-1",126150,240,31.2
