"","plan","k10_tot_Removed_g","km_tot_Removed_g","k90_tot_Removed_g","percentRest","storm","k10percentRemoved","kmpercentRemoved","k90percentRemoved"
"1","1st-100p",860.6,8619.7,167230.4,100,"Q2",0.0235563915954758,0.235938913125172,4.57743991293058
"2","1st-20p",843.3,8430.4,163563.5,20,"Q2",0.0230828550226177,0.230757382879967,4.47706931992402
"3","1st-40p",844.4,8450.6,163970.8,40,"Q2",0.0231129642844757,0.231310298415905,4.48821795842836
"4","1st-60p",857,8574,166346,60,"Q2",0.0234578521930314,0.234688010155252,4.55323206639673
"5","1st-80p",878.5,8774.4,170258.5,80,"Q2",0.0240463514020747,0.240173370224661,4.6603252364145
"6","unr",827.2,8277,160605.1,0,"Q2",0.022642164917241,0.226558509453583,4.39609182875965
"7","1st-100p",474.4,4737,91932.4,100,"Q1",0.0129853034776827,0.129661430383185,2.51637882257951
"8","1st-20p",466.9,4665.1,90512.4,20,"Q1",0.0127800130559234,0.127693379539919,2.47751050272641
"9","1st-40p",469.7,4697.6,91149.5,40,"Q1",0.0128566548133802,0.128582971367543,2.49494923975346
"10","1st-60p",487.1,4874.6,94567.2,60,"Q1",0.0133329285918618,0.133427825321063,2.58849871634636
"11","1st-80p",508,5087.9,98714.5,80,"Q1",0.0139050045671644,0.139266284915898,2.70201884516802
"12","unr",457.5,4565.4,88570.8,0,"Q1",0.0125227157273184,0.124964385533332,2.42436491834136
"13","1st-100p",16.2,160.5,3092.3,100,"Q0.5",0.000443427311000126,0.0043932150256494,0.0846426094941784
"14","1st-20p",7.3,82.4,1608.1,20,"Q0.5",0.000199816010512402,0.00225545743372904,0.0440170036308211
"15","1st-40p",17.7,166.6,3252,40,"Q0.5",0.00048448539535199,0.00456018456868031,0.0890139268748401
"16","1st-60p",32.1,329.4,6412.6,60,"Q0.5",0.000878643005129879,0.00901635532366923,0.17552604780984
"17","1st-80p",52.1,521.6,10109.6,80,"Q0.5",0.00142608412982139,0.0142772645319547,0.276720539709066
"18","unr",7.9,69.5,1337.9,0,"Q0.5",0.000216239244253148,0.00190235790830301,0.0366210740362388
"19","1st-100p",0,7.2,117.6,100,"Qm",0,0.000197078804888945,0.0032189538131861
"20","1st-20p",0,0,0,20,"Qm",0,0,0
"21","1st-40p",0,0,0,40,"Qm",0,0,0
"22","1st-60p",4.8,38.4,748.8,60,"Qm",0.000131385869925963,0.00105108695940771,0.0204961957084503
"23","1st-80p",9.6,84,1636.8,80,"Qm",0.000262771739851926,0.00229925272370436,0.0448025816447535
"24","unr",0,0,0,0,"Qm",0,0,0
