,storm,plan,river,removal_k10_g,removal_km_g,removal_k90_g,order,percentRest,sort_storm,sort_order,,
1,Q0.5,1st-100p,7-Jan,2.0502,18.666,397.8,1st,100,0.5,1,,
2,Q0.5,1st-100p,2-Feb,0,0,0,2nd,100,0.5,1,,
3,Q0.5,1st-100p,1-Mar,0.27135,2.4705,52.65,3rd,100,0.5,1,,
4,Q0.5,1st-100p,1-Apr,13.612725,123.93675,2641.275,4th,100,0.5,1,,
5,Q0.5,1st-20p,7-Jan,1.01304,9.2232,196.56,1st,20,0.5,1,,
6,Q0.5,1st-20p,2-Feb,0.05200875,0.4735125,10.09125,2nd,20,0.5,1,,
7,Q0.5,1st-20p,1-Mar,0.3618,3.294,70.2,3rd,20,0.5,1,,
8,Q0.5,1st-20p,1-Apr,6.859125,62.44875,1330.875,4th,20,0.5,1,,
9,Q0.5,1st-40p,7-Jan,8.716365,79.35795,1691.235,1st,40,0.5,1,,"go to lit, roley papw"
10,Q0.5,1st-40p,2-Feb,0.01733625,0.1578375,3.36375,2nd,40,0.5,1,,what they did an why 
11,Q0.5,1st-40p,1-Mar,0.3391875,3.088125,65.8125,3rd,40,0.5,1,,blockage in the FP 100p
12,Q0.5,1st-40p,1-Apr,7.68222,69.9426,1490.58,4th,40,0.5,1,,percent removal
13,Q0.5,1st-60p,7-Jan,22.4316,204.228,4352.4,1st,60,0.5,1,,add hyporheic
14,Q0.5,1st-60p,2-Feb,0,0,0,2nd,60,0.5,1,,combos
15,Q0.5,1st-60p,1-Mar,0.28265625,2.5734375,54.84375,3rd,60,0.5,1,,look at depth in FP
16,Q0.5,1st-60p,1-Apr,10.34145,94.1535,2006.55,4th,60,0.5,1,,send erich pics and vids
17,Q0.5,1st-80p,7-Jan,38.3508,349.164,7441.2,1st,80,0.5,1,,
18,Q0.5,1st-80p,2-Feb,0,0,0,2nd,80,0.5,1,,
19,Q0.5,1st-80p,1-Mar,0.2939625,2.676375,57.0375,3rd,80,0.5,1,,
20,Q0.5,1st-80p,1-Apr,13.46499,122.5917,2612.61,4th,80,0.5,1,,
21,Q0.5,unr,7-Jan,0,0,0,1st,0,0.5,0,,
22,Q0.5,unr,2-Feb,0.05200875,0.4735125,10.09125,2nd,0,0.5,0,,
23,Q0.5,unr,1-Mar,0.316575,2.88225,61.425,3rd,0,0.5,0,,
24,Q0.5,unr,1-Apr,5.128515,46.69245,995.085,4th,0,0.5,0,,
25,Q1,1st-100p,7-Jan,18.5724,169.092,3603.6,1st,100,1,1,,
26,Q1,1st-100p,2-Feb,0.12135375,1.1048625,23.54625,2nd,100,1,1,,
27,Q1,1st-100p,1-Mar,53.30896875,485.3503125,10343.53125,3rd,100,1,1,,
28,Q1,1st-100p,1-Apr,402.00804,3658.1517,77960.61,4th,100,1,1,,
29,Q1,1st-20p,7-Jan,4.308435,39.22605,835.965,1st,20,1,1,,
30,Q1,1st-20p,2-Feb,10.31506875,93.9133125,2001.43125,2nd,20,1,1,,
31,Q1,1st-20p,1-Mar,49.35178125,449.3221875,9575.71875,3rd,20,1,1,,
32,Q1,1st-20p,1-Apr,402.72561,3664.6848,78099.84,4th,20,1,1,,
33,Q1,1st-40p,7-Jan,11.7585,107.055,2281.5,1st,40,1,1,,
34,Q1,1st-40p,2-Feb,6.77847375,61.7144625,1315.22625,2nd,40,1,1,,
35,Q1,1st-40p,1-Mar,49.28394375,448.7045625,9562.55625,3rd,40,1,1,,
36,Q1,1st-40p,1-Apr,402.155775,3659.49675,77989.275,4th,40,1,1,,
37,Q1,1st-60p,7-Jan,26.565165,241.86195,5154.435,1st,60,1,1,,
38,Q1,1st-60p,2-Feb,4.97550375,45.2993625,965.39625,2nd,60,1,1,,
39,Q1,1st-60p,1-Mar,51.34168125,467.4391875,9961.81875,3rd,60,1,1,,
40,Q1,1st-60p,1-Apr,404.70948,3682.7469,78484.77,4th,60,1,1,,
41,Q1,1st-80p,7-Jan,46.0692,419.436,8938.8,1st,80,1,1,,
42,Q1,1st-80p,2-Feb,1.36956375,12.4691625,265.73625,2nd,80,1,1,,
43,Q1,1st-80p,1-Mar,53.69338125,488.8501875,10418.11875,3rd,80,1,1,,
44,Q1,1st-80p,1-Apr,407.854125,3711.281175,79092.8775,4th,80,1,1,,
45,Q1,unr,7-Jan,3.813975,34.72425,740.025,1st,0,1,0,,
46,Q1,unr,2-Feb,10.83515625,98.6484375,2102.34375,2nd,0,1,0,,
47,Q1,unr,1-Mar,48.31160625,439.8519375,9373.89375,3rd,0,1,0,,
48,Q1,unr,1-Apr,393.73488,3582.8289,76355.37,4th,0,1,0,,
49,Q2,1st-100p,7-Jan,77.9076,709.308,15116.4,1st,100,2,1,,
50,Q2,1st-100p,2-Feb,10.9218375,99.437625,2119.1625,2nd,100,2,1,,
51,Q2,1st-100p,1-Mar,91.63715625,834.3084375,17780.34375,3rd,100,2,1,,
52,Q2,1st-100p,1-Apr,681.73371,6203.850975,132213.2175,4th,100,2,1,,
53,Q2,1st-20p,7-Jan,18.62667,169.5861,3614.13,1st,20,2,1,,
54,Q2,1st-20p,2-Feb,29.00354625,264.0621375,5627.55375,2nd,20,2,1,,
55,Q2,1st-20p,1-Mar,99.84549375,909.0410625,19373.00625,3rd,20,2,1,,
56,Q2,1st-20p,1-Apr,695.83185,6332.207175,134948.6775,4th,20,2,1,,
57,Q2,1st-40p,7-Jan,31.66353,288.2799,6143.67,1st,40,2,1,,
58,Q2,1st-40p,2-Feb,24.80817375,225.8654625,4813.52625,2nd,40,2,1,,
59,Q2,1st-40p,1-Mar,96.18226875,875.6893125,18662.23125,3rd,40,2,1,,
60,Q2,1st-40p,1-Apr,692.75052,6304.153275,134350.8075,4th,40,2,1,,
61,Q2,1st-60p,7-Jan,45.77373,416.7459,8881.47,1st,60,2,1,,
62,Q2,1st-60p,2-Feb,22.83184125,207.8719875,4430.05875,2nd,60,2,1,,
63,Q2,1st-60p,1-Mar,95.88830625,873.0129375,18605.19375,3rd,60,2,1,,
64,Q2,1st-60p,1-Apr,693.151515,6307.804125,134428.6125,4th,60,2,1,,
65,Q2,1st-80p,7-Jan,68.45256,623.2248,13281.84,1st,80,2,1,,
66,Q2,1st-80p,2-Feb,19.98869625,181.9866375,3878.40375,2nd,80,2,1,,
67,Q2,1st-80p,1-Mar,96.77019375,881.0420625,18776.30625,3rd,80,2,1,,
68,Q2,1st-80p,1-Apr,692.602785,6302.808225,134322.1425,4th,80,2,1,,
69,Q2,unr,7-Jan,12.73536,115.9488,2471.04,1st,0,2,0,,
70,Q2,unr,2-Feb,30.97987875,282.0556125,6011.02125,2nd,0,2,0,,
