storm,plan,river,removal_k10_g,removal_km_g,removal_k90_g,RestPathLoc_Km,restLoc,k10_percentWLR,km_percentWLR,k90_percentWLR,k10_percentOLR,km_percentOLR,k90_percentOLR
Q0.5,unr,1-7,0,0,0,0,none,0,0,0,0,0,0
Q0.5,unr,2-2,0.008668125000000002,0.07891875,1.6818750000000002,0,none,4.4454430762760985e-7,4.047343696311074e-6,8.625486565908848e-5,1.1628979460416697e-5,1.0587578314707736e-4,0.0022563691490360754
Q0.5,unr,3-1,0.1582875,1.441125,30.712500000000002,0,none,8.117765617547657e-6,7.390801532394135e-5,0.0015750888511659633,2.3262794812707222e-5,2.1179559456345378e-4,0.004513676605450655
Q0.5,unr,4-1,5.128515,46.69245,995.0849999999999,0,none,2.630156060085441e-4,0.0023946196964957,0.05103287877777721,2.8962372462305544e-4,0.0026368727167173705,0.05619564806118985
Q1,unr,1-7,0.15891562499999998,1.4468437499999998,30.834375,0,none,4.349847304988475e-6,3.960308740362641e-5,8.440002233559727e-4,1.5432597063336375e-4,0.001405057344572416,0.02994384504826461
Q1,unr,2-2,1.8058593750000003,16.44140625,350.390625,0,none,4.943008301123267e-5,4.500350841321183e-4,0.009590911629045145,0.001431801288404361,0.013035802775024778,0.2778121902874133
Q1,unr,3-1,24.155803125000002,219.92596874999998,4686.946875,0,none,6.611939834306e-4,0.006019825819293521,0.12829136991937012,0.003550068651239213,0.0323215205560585,0.6888192905389516
Q1,unr,4-1,393.73488000000003,3582.8289,76355.37,0,none,0.010777332981876142,0.09806939144530202,2.0900034242441414,0.013678759327969317,0.12447120315170718,2.6526649852003166
Q2,unr,1-7,0.53064,4.8312,102.96,0,none,1.3311198173397773e-5,1.211915057578006e-4,0.0025827697948383735,3.7394821778410453e-4,0.003404603176840355,0.07255711688348296
Q2,unr,2-2,5.163313125,47.00926875,1001.8368750000001,0,none,1.2952262218864153e-4,0.0011792358139562885,0.025131255051527465,0.004282028781482986,0.038985635174695846,0.8308414053623706
Q2,unr,3-1,49.120003125000004,447.21196875,9530.746875,0,none,0.0012321839587569594,0.011218391266294703,0.23908046960955928,0.007218943718843324,0.06572471147006607,1.4006905723128837
Q2,unr,4-1,686.102445,6243.626025,133060.8825,0,none,0.017211001079164304,0.1566224621953844,3.337855751704914,0.018952095786053395,0.17246666199840724,3.6755190261955653
Qm,unr,1-7,0,0,0,0,none,0,0,0,0,0,0
Qm,unr,2-2,0,0,0,0,none,0,0,0,0,0,0
Qm,unr,3-1,0,0,0,0,none,0,0,0,0,0,0
Qm,unr,4-1,0,0,0,0,none,0,0,0,0,0,0
