Source Conc (mg/L),1,,,,,,,,,,,,
remaining hrs per year baseflow,7992,16 storms x 48 hr sim = 768 hrs. 8760 hrs per year -768 =7992,,,,,,,,,,,
Additional baseflow load (kg),21095,,,,,,,,,,,,
,,plan,,Storm Flux (kg),Storm Flux + Baseflow load,,,,,,,,
,,unr,0,11786,34824,,,,,,,,
,,1st-20p,20,11821,34859,,,,,,,,
,,1st-40p,40,11821,34859,,,,,,,,
,,1st-60p,60,11821,34859,,,,,,,,
,,1st-80p,80,11820,34858,,,,,,,,
,,1st-100p,100,11821,34858,,,,,,,,
,,unr,0,11786,34824,,,,,,,,
,,2nd-20p,20,11821,34858,,,,,,,,
,,2nd-60p,60,11817,34855,,,,,,,,
,,2nd-80p,80,11815,34853,,,,,,,,
,,2nd-100p,100,11812,34850,,,,,,,,
,,unr,0,11786,34824,,,,,,,,
,,3rd-20p,20,11819,34857,,,,,,,,
,,3rd-40p,40,11817,34855,,,,,,,,
,,3rd-60p,60,11813,34851,,,,,,,,
,,3rd-80p,80,11808,34846,,,,,,,,
,,3rd-100p,100,11804,34841,,,,,,,,
,,unr,0,11786,34824,,,,,,,,
,,4th-20p,20,11811,34849,,,,,,,,
,,4th-40p,40,11798,34836,,,,,,,,
,,4th-60p,60,11781,34819,,,,,,,,
,,4th-80p,80,11761,34799,,,,,,,,
,,4th-100p,100,11738,34776,,,,,,,,
,,,,,,,,,,,,,
,Organized by plan:,,,,,,,,,,,,
,"Baseflow 
(cfs)",storm,Storm Occurances,Watershed Storm NO3 load (g),plan,Order Loc of Restoration,%Order Restored,"removalLoad
k10_g","removalLoad
km_g","removalLoad
k90_g",total storm load (g),Total removed FP load (g),Storm Flux (kg)
,25.89,Q2,1,3620193,unr,NA,0,3312.23076,30144.2175,642417.75,3620193,30144.2175,
,25.89,Q1,1,2878440,unr,NA,0,1826.78247,16624.2141,354286.53,2878440,16624.2141,
,25.89,Q0.5,2,1770751,unr,NA,0,21.988395,200.19285,4266.405,3541502,400.3857,
,25.89,Qm,12,149414,unr,NA,0,0,0,0,1792968,0,11786
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,1st-20p,1st,20,843.30756,7674.896475,163563.3675,3620193,7674.896475,
,25.89,Q1,1,2878440,1st-20p,1st,20,466.700895,4247.14635,90512.955,2878440,4247.14635,
,25.89,Q0.5,2,1770751,1st-20p,1st,20,8.28597375,75.4394625,1607.72625,3541502,150.878925,
,25.89,Qm,12,149414,1st-20p,1st,20,0,0,0,1792968,0,11821
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,1st-40p,1st,40,845.4044925,7693.98795,163970.235,3620193,7693.98795,
,25.89,Q1,1,2878440,1st-40p,1st,40,469.9766925,4276.970775,91148.5575,2878440,4276.970775,
,25.89,Q0.5,2,1770751,1st-40p,1st,40,16.75510875,152.5465125,3250.99125,3541502,305.093025,
,25.89,Qm,12,149414,1st-40p,1st,40,0,0,0,1792968,0,11821
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,1st-40p,1st,40,845.4044925,7693.98795,163970.235,3620193,7693.98795,
,25.89,Q1,1,2878440,1st-40p,1st,40,469.9766925,4276.970775,91148.5575,2878440,4276.970775,
,25.89,Q0.5,2,1770751,1st-40p,1st,40,16.75510875,152.5465125,3250.99125,3541502,305.093025,
,25.89,Qm,12,149414,1st-40p,1st,40,0,0,0,1792968,0,11821
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,1st-60p,1st,60,857.6453925,7805.43495,166345.335,3620193,7805.43495,
,25.89,Q1,1,2878440,1st-60p,1st,60,487.59183,4437.3474,94566.42,2878440,4437.3474,
,25.89,Q0.5,2,1770751,1st-60p,1st,60,33.05570625,300.9549375,6413.79375,3541502,601.909875,
,25.89,Qm,12,149414,1st-60p,1st,60,3.8592,35.136,748.8,1792968,421.632,11820
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,1st-80p,1st,80,877.814235,7989.061725,170258.6925,3620193,7989.061725,
,25.89,Q1,1,2878440,1st-80p,1st,80,508.98627,4632.036525,98715.5325,2878440,4632.036525,
,25.89,Q0.5,2,1770751,1st-80p,1st,80,52.1097525,474.432075,10110.8475,3541502,948.86415,
,25.89,Qm,12,149414,1st-80p,1st,80,8.442,76.86,1638,1792968,922.32,11819
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,1st-100p,1st,100,862.2003038,7846.905038,167229.1238,3620193,7846.905038,
,25.89,Q1,1,2878440,1st-100p,1st,100,474.0107625,4313.698875,91931.2875,2878440,4313.698875,
,25.89,Q0.5,2,1770751,1st-100p,1st,100,15.934275,145.07325,3091.725,3541502,290.1465,
,25.89,Qm,12,149414,1st-100p,1st,100,0.603,5.49,117,1792968,65.88,11821
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,2nd-20p,2nd,20,839.24535,7637.912175,162775.1775,3620193,7637.912175,
,25.89,Q1,1,2878440,2nd-20p,2nd,20,471.0580725,4286.816175,91358.3775,2878440,4286.816175,
,25.89,Q0.5,2,1770751,2nd-20p,2nd,20,25.52926125,232.4305875,4953.43875,3541502,464.861175,
,25.89,Qm,12,149414,2nd-20p,2nd,20,1.4044875,12.787125,272.5125,1792968,153.4455,11821
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,2nd-60p,2nd,60,903.258825,8220.721425,175195.7025,3620193,8220.721425,
,25.89,Q1,1,2878440,2nd-60p,2nd,60,540.104085,4915.44405,104755.365,2878440,4915.44405,
,25.89,Q0.5,2,1770751,2nd-60p,2nd,60,86.3993475,786.620925,16764.0525,3541502,1573.24185,
,25.89,Qm,12,149414,2nd-60p,2nd,60,10.2886875,93.673125,1996.3125,1792968,1124.0775,11817
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,2nd-80p,2nd,80,991.441545,9023.6751,192307.83,3620193,9023.6751,
,25.89,Q1,1,2878440,2nd-80p,2nd,80,603.67335,5494.209,117089.7,2878440,5494.209,
,25.89,Q0.5,2,1770751,2nd-80p,2nd,80,132.9406463,1210.355138,25794.45375,3541502,2420.710275,
,25.89,Qm,12,149414,2nd-80p,2nd,80,12.7057125,115.678875,2465.2875,1792968,1388.1465,11815
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,2nd-100p,2nd,100,1078.52781,9816.55005,209205.165,3620193,9816.55005,
,25.89,Q1,1,2878440,2nd-100p,2nd,100,678.7280063,6177.542438,131652.5438,2878440,6177.542438,
,25.89,Q0.5,2,1770751,2nd-100p,2nd,100,190.8751275,1737.818325,37035.4725,3541502,3475.63665,
,25.89,Qm,12,149414,2nd-100p,2nd,100,11.2032375,101.999625,2173.7625,1792968,1223.9955,11812
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,3rd-20p,3rd,20,898.0725225,8173.50285,174189.405,3620193,8173.50285,
,25.89,Q1,1,2878440,3rd-20p,3rd,20,519.5113838,4727.862188,100757.7188,2878440,4727.862188,
,25.89,Q0.5,2,1770751,3rd-20p,3rd,20,53.55243,487.5669,10390.77,3541502,975.1338,
,25.89,Qm,12,149414,3rd-20p,3rd,20,0,0,0,1792968,0,11819
,,,,,,,,,,,,,
,25.89,Q2,1,3620193,3rd-40p,3rd,40,979.1888363,8911.928438,189926.3438,3620193,8911.928438,
,25.89,Q1,1,2878440,3rd-40p,3rd,40,589.6880213,5366.783813,114374.0813,2878440,5366.783813,
,25.89,Q0.5,2,1770751,3rd-40p,3rd,40,110.6288925,1007.218275,21465.3075,3541502,2014.43655,
