OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,Shape_Length,NHDPlusID,VPUID,Enabled
1756,125920360,3/9/2012 10:34:05,2,00597317,Dead Run,3.125000000000000,02060003000740,1,,460,46006,0,1,0,0.032656859300482,10000400024271.000000000000000,0206,1
4537,125920447,3/9/2012 10:33:51,2,,,0.256000000000000,02060003008344,1,,460,46006,0,1,0,0.002652746924835,10000400024177.000000000000000,0206,1
4538,125920365,3/9/2012 10:31:57,2,00597317,Dead Run,0.522000000000000,02060003000741,1,,460,46006,0,1,0,0.005370628550311,10000400024178.000000000000000,0206,1
6128,125920610,3/9/2012 10:32:53,2,00597317,Dead Run,0.065000000000000,02060003000743,1,125924152,558,55800,0,1,0,0.000612276355899,10000400024082.000000000000000,0206,1
6264,125920456,3/9/2012 10:32:38,2,,,0.990000000000000,02060003000745,1,,460,46006,0,1,0,0.010600916333620,10000400033532.000000000000000,0206,1
6583,125919600,3/9/2012 10:34:55,2,,,0.529000000000000,02060003008185,1,,460,46003,0,1,0,0.004919723723259,10000400028750.000000000000000,0206,1
6584,125920606,3/9/2012 10:34:31,2,,,0.059000000000000,02060003008228,1,,334,33400,0,1,0,0.000679304754605,10000400028751.000000000000000,0206,1
8482,125920355,3/9/2012 10:34:44,2,,,2.442000000000000,02060003000746,1,,460,46006,0,1,0,0.023390875601395,10000400033531.000000000000000,0206,1
10313,125920356,3/9/2012 10:32:48,2,,,0.633000000000000,02060003008306,1,,460,46006,0,1,0,0.006328199517009,10000400024378.000000000000000,0206,1
12329,125919754,3/9/2012 10:32:53,2,00597317,Dead Run,0.320000000000000,02060003000743,1,,460,46006,0,1,0,0.003219803472896,10000400000807.000000000000000,0206,1
12397,125920452,3/9/2012 10:34:44,2,,,0.415000000000000,02060003008347,1,,460,46006,0,1,0,0.004096263463987,10000400000901.000000000000000,0206,1
12464,125920457,3/9/2012 10:32:38,2,,,0.812000000000000,02060003000745,1,,460,46006,0,1,0,0.008739515749786,10000400000902.000000000000000,0206,1
12839,125919760,3/9/2012 10:33:37,2,,,0.306000000000000,02060003008189,1,,460,46003,0,1,0,0.002850389832483,10000400019396.000000000000000,0206,1
13845,125920359,3/9/2012 10:34:05,2,00597317,Dead Run,1.925000000000000,02060003000740,1,,460,46006,0,1,0,0.020845397440256,10000400010394.000000000000000,0206,1
21784,125919581,3/9/2012 10:34:53,2,,,0.828000000000000,02060003008171,1,,460,46003,0,1,0,0.007867609855557,10000400010101.000000000000000,0206,1
22586,125919613,3/9/2012 10:33:37,2,,,0.471000000000000,02060003008189,1,,460,46006,0,1,0,0.004811741654341,10000400010102.000000000000000,0206,1
22587,125920607,3/9/2012 10:34:24,2,,,0.148000000000000,02060003008377,1,,334,33400,0,1,0,0.001719703078917,10000400010103.000000000000000,0206,1
22588,125920533,6/10/2016 0:00:00,2,00597317,Dead Run,1.739311840000000,02060003000743,1,,460,46006,0,1,0,0.016885816783042,10000400010104.000000000000000,0206,1
22589,125919710,3/9/2012 10:32:53,2,00597317,Dead Run,0.276000000000000,02060003000743,1,,460,46003,0,1,0,0.003109580210137,10000400010105.000000000000000,0206,1
