OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,Shape_Length,NHDPlusID,VPUID,Enabled
8,125915451,3/9/2012 10:35:22,2,,,1.691000000000000,02060003000924,1,,460,46006,0,1,0,0.017359313765788,10000400028663.000000000000000,0206,1
9,125915465,3/9/2012 10:32:49,2,,,0.860000000000000,02060003007208,1,,460,46006,0,1,0,0.009322155137834,10000400028665.000000000000000,0206,1
793,125920346,6/10/2016 0:00:00,2,00597713,Maidens Choice Run,0.862507300000000,02060003000747,1,,460,46006,0,1,0,0.009174895730247,10000400029110.000000000000000,0206,1
794,125920464,3/9/2012 10:34:39,2,,,0.742000000000000,02060003008352,1,,460,46006,0,1,0,0.006952025546381,10000400029111.000000000000000,0206,1
795,125920361,3/9/2012 10:31:38,2,,,1.015000000000000,02060003008308,1,,460,46006,0,1,0,0.010116658405852,10000400029113.000000000000000,0206,1
796,125920500,6/10/2016 0:00:00,2,00598242,Western Run,0.368875890000000,02060003000791,1,,460,46006,0,1,0,0.004045375485125,10000400029114.000000000000000,0206,1
797,125920490,3/9/2012 10:33:06,2,00598242,Western Run,1.175000000000000,02060003000791,1,,460,46006,0,1,0,0.013474246377304,10000400029115.000000000000000,0206,1
954,81698681,3/9/2012 11:33:41,2,00585498,Little Patuxent River,1.072000000000000,02060006000131,1,,460,46006,0,1,0,0.010693711039123,10000400033054.000000000000000,0206,1
955,125919866,3/9/2012 10:33:30,2,00597875,Patapsco River,0.244000000000000,02060003000248,1,125924170,558,55800,0,1,0,0.002218843219433,10000400033055.000000000000000,0206,1
957,125919845,3/9/2012 10:33:45,2,,,0.053000000000000,02060003008204,1,125919556,558,55800,0,1,0,0.000626426236587,10000400033057.000000000000000,0206,1
958,125915389,3/9/2012 10:31:41,2,,,0.230000000000000,02060003007174,1,,460,46006,0,1,0,0.002595908418011,10000400033058.000000000000000,0206,1
959,125915641,3/9/2012 10:35:25,2,,,0.293000000000000,02060003011138,1,125924143,558,55800,0,1,0,0.003151305372199,10000400033059.000000000000000,0206,1
960,125915639,3/9/2012 10:35:24,2,00585545,Locust Run,0.319000000000000,02060003011141,1,125924143,558,55800,0,1,0,0.003598722232911,10000400033061.000000000000000,0206,1
961,125915654,3/9/2012 10:35:23,2,00595062,North Branch Patapsco River,0.296000000000000,02060003011078,1,125924143,558,55800,0,1,0,0.002968245131087,10000400033062.000000000000000,0206,1
962,125915656,3/9/2012 10:35:34,2,00595062,North Branch Patapsco River,0.946000000000000,02060003011077,1,125924143,558,55800,0,1,0,0.009330544426705,10000400033063.000000000000000,0206,1
1020,125920460,3/9/2012 10:33:33,2,,,0.700000000000000,02060003008349,1,,460,46006,0,1,0,0.007423184862401,10000400028931.000000000000000,0206,1
