OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,Shape_Length,NHDPlusID,VPUID,Enabled
7694,125915364,3/9/2012 10:34:45,2,,,0.189000000000000,02060003007164,1,,460,46006,0,1,0,0.001889962642677,10000400033339.000000000000000,0206,1
11377,125915370,3/9/2012 10:33:04,2,,,0.487000000000000,02060003007168,1,,460,46006,0,1,0,0.004451332356534,10000400028657.000000000000000,0206,1
13546,125915359,3/9/2012 10:35:09,2,,,0.680000000000000,02060003007162,1,,460,46006,0,1,0,0.006235840180119,10000400019319.000000000000000,0206,1
21469,125915667,3/9/2012 10:33:04,2,,,0.070000000000000,02060003007168,1,125915324,558,55800,0,1,0,0.000740476526131,10000400010021.000000000000000,0206,1
21470,125915668,3/9/2012 10:34:45,2,,,0.072000000000000,02060003007164,1,125915272,558,55800,0,1,0,0.000733643221249,10000400010022.000000000000000,0206,1
27741,125915369,3/9/2012 10:35:02,2,,,0.515000000000000,02060003007167,1,,460,46006,0,1,0,0.005716830198824,10000400014728.000000000000000,0206,1
27742,125915365,3/9/2012 10:34:45,2,,,0.144000000000000,02060003007164,1,,460,46006,0,1,0,0.001363485280473,10000400014729.000000000000000,0206,1
29919,125915512,3/9/2012 10:34:11,2,00585080,Horsehead Branch,2.836000000000000,02060003000736,1,,460,46006,0,1,0,0.032398352378198,10000400014564.000000000000000,0206,1
35757,125915363,3/9/2012 10:34:11,2,00585080,Horsehead Branch,0.218000000000000,02060003000736,1,,460,46006,0,1,0,0.002542105419273,10000400000715.000000000000000,0206,1
36162,125915390,3/9/2012 10:32:22,2,,,1.683000000000000,02060003000732,1,,460,46006,0,1,0,0.015980050545849,10000400019094.000000000000000,0206,1
36850,125915362,3/9/2012 10:34:11,2,00585080,Horsehead Branch,1.121000000000000,02060003000736,1,,460,46006,0,1,0,0.012674460281184,10000400033340.000000000000000,0206,1
