OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,Shape_Length,NHDPlusID,VPUID,Enabled
793,125920346,6/10/2016 0:00:00,2,00597713,Maidens Choice Run,0.862507300000000,02060003000747,1,,460,46006,0,1,0,0.009174895730247,10000400029110.000000000000000,0206,1
794,125920464,3/9/2012 10:34:39,2,,,0.742000000000000,02060003008352,1,,460,46006,0,1,0,0.006952025546381,10000400029111.000000000000000,0206,1
1020,125920460,3/9/2012 10:33:33,2,,,0.700000000000000,02060003008349,1,,460,46006,0,1,0,0.007423184862401,10000400028931.000000000000000,0206,1
3979,125920345,6/10/2016 0:00:00,2,,,0.501741510000000,02060003008301,1,,460,46006,0,1,0,0.005476051558316,10000400033751.000000000000000,0206,1
4536,125920476,3/9/2012 10:32:13,2,00594083,Bill Branch,0.478000000000000,02060003010978,1,,460,46006,0,1,0,0.004904457141420,10000400024176.000000000000000,0206,1
8481,125920555,6/10/2016 0:00:00,2,,,2.165530080000000,02060003008302,1,,460,46006,0,1,0,0.024046561308392,10000400033530.000000000000000,0206,1
10314,125920625,3/9/2012 10:33:33,2,,,0.090000000000000,02060003008349,1,,334,33400,0,1,0,0.000967360678084,10000400024379.000000000000000,0206,1
10315,125920349,3/9/2012 10:34:08,2,,,0.566000000000000,02060003008303,1,,460,46006,0,1,0,0.005164390146948,10000400024380.000000000000000,0206,1
10882,125920465,3/9/2012 10:35:52,2,,,0.292000000000000,02060003008353,0,,460,46006,0,0,0,0.002752779304692,10000400033816.000000000000000,0206,1
10883,125920562,6/10/2016 0:00:00,2,,,1.199806480000000,02060003008354,1,,460,46006,0,1,0,0.011439565201598,10000400033817.000000000000000,0206,1
12403,125920342,6/10/2016 0:00:00,2,,,1.687183510000000,02060003000493,1,,460,46006,0,1,0,0.015869371646664,10000400001000.000000000000000,0206,1
12404,125920336,3/9/2012 10:32:48,2,00584218,East Branch Herbert Run,2.388000000000000,02060003000489,1,,460,46006,0,1,0,0.025167988854165,10000400001001.000000000000000,0206,1
12488,125920347,3/9/2012 10:32:13,2,00597713,Maidens Choice Run,2.312000000000000,02060003000747,1,,460,46006,0,1,0,0.023441654489344,10000400001074.000000000000000,0206,1
13843,125920461,3/9/2012 10:35:11,2,,,0.442000000000000,02060003008350,1,,460,46006,0,1,0,0.004834974067696,10000400010391.000000000000000,0206,1
16210,125920341,3/9/2012 10:34:08,2,00588139,West Branch Herbert Run,0.887000000000000,02060003000492,1,,460,46006,0,1,0,0.009268587080674,10000400019568.000000000000000,0206,1
16212,125920339,3/9/2012 10:34:08,2,00588139,West Branch Herbert Run,0.347000000000000,02060003000492,1,,460,46006,0,1,0,0.003542538401724,10000400019570.000000000000000,0206,1
16483,125920475,3/9/2012 10:33:15,2,,,0.397000000000000,02060003008359,1,,460,46006,0,1,0,0.003732518455002,10000400010190.000000000000000,0206,1
17044,125920462,3/9/2012 10:35:27,2,,,0.208000000000000,02060003008351,1,,460,46006,0,1,0,0.002017759068798,10000400019669.000000000000000,0206,1
21560,125920463,3/9/2012 10:32:13,2,00597713,Maidens Choice Run,0.170000000000000,02060003000747,1,,460,46006,0,1,0,0.001756191255983,10000400015140.000000000000000,0206,1
25780,125920557,6/10/2016 0:00:00,2,,,0.543876990000000,02060003008371,1,,460,46006,0,1,0,0.006008034200012,10000400010272.000000000000000,0206,1
29156,125920571,3/9/2012 10:32:13,2,00597713,Maidens Choice Run,0.881000000000000,02060003000747,1,,460,46006,0,1,0,0.009900918945095,10000400001136.000000000000000,0206,1
29831,125920626,4/21/2015 0:00:00,2,,,0.153766000000000,02060003008304,1,125920294,558,55800,0,1,0,0.001782909414304,10000400005759.000000000000000,0206,1
29832,125920350,4/21/2015 0:00:00,2,,,0.438931700000000,02060003008304,1,,460,46006,0,1,0,0.004573216257862,10000400005760.000000000000000,0206,1
30186,125920624,3/9/2012 10:31:50,2,,,0.260000000000000,02060003008378,1,,460,46006,0,1,0,0.002503223970625,10000400005704.000000000000000,0206,1
31247,125920340,3/9/2012 10:35:29,2,,,0.724000000000000,02060003008299,1,,460,46006,0,1,0,0.006773914443215,10000400005598.000000000000000,0206,1
33323,125920560,6/10/2016 0:00:00,2,,,0.985411890000000,02060003008372,1,,460,46006,0,1,0,0.009263135036990,10000400024435.000000000000000,0206,1
35447,125920352,4/21/2015 0:00:00,2,,,0.394338070000000,02060003008304,1,,460,46006,0,1,0,0.004032989586852,10000400019670.000000000000000,0206,1
36977,125920424,3/9/2012 10:32:13,2,00597713,Maidens Choice Run,0.361000000000000,02060003000747,1,,460,46006,0,1,0,0.004018743494763,10000400029112.000000000000000,0206,1
