OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,Shape_Length,NHDPlusID,VPUID,Enabled
4081,125920453,3/9/2012 10:33:24,2,,,0.019000000000000,02060003000724,1,,460,46006,0,1,0,0.000166054585904,10000400028936.000000000000000,0206,1
4082,125920395,3/9/2012 10:32:27,2,,,0.915000000000000,02060003000725,1,,460,46006,0,1,0,0.008539555857807,10000400028937.000000000000000,0206,1
9503,125920596,6/10/2016 0:00:00,2,,,1.846387780000000,02060003000724,1,,460,46006,0,1,0,0.017990988487963,10000400033635.000000000000000,0206,1
9504,125920523,6/10/2016 0:00:00,2,,,0.715804200000000,02060003000725,1,,460,46006,0,1,0,0.007118626404514,10000400033636.000000000000000,0206,1
10174,125920380,3/9/2012 10:32:13,2,,,0.584000000000000,02060003000723,1,,460,46006,0,1,0,0.005593892884525,10000400033633.000000000000000,0206,1
10175,125920521,6/10/2016 0:00:00,2,,,0.757966960000000,02060003008318,1,,460,46006,0,1,0,0.007668305278774,10000400033634.000000000000000,0206,1
10318,125920394,3/9/2012 10:35:46,2,,,0.630000000000000,02060003008319,1,,460,46006,0,1,0,0.007245002256056,10000400024383.000000000000000,0206,1
13733,125920522,3/9/2012 10:33:24,2,,,1.928000000000000,02060003000724,1,,460,46006,0,1,0,0.018205921965074,10000400019573.000000000000000,0206,1
13734,125920393,3/9/2012 10:32:27,2,,,0.192000000000000,02060003000725,1,,460,46006,0,1,0,0.002097306013072,10000400019574.000000000000000,0206,1
16214,125920612,3/9/2012 10:32:13,2,,,0.181000000000000,02060003000723,1,125920299,558,55800,0,1,0,0.001660592657886,10000400019572.000000000000000,0206,1
25158,125920611,3/9/2012 10:32:27,2,,,0.171000000000000,02060003000725,1,125920300,558,55800,0,1,0,0.001801148263457,10000400014995.000000000000000,0206,1
25782,125920525,6/10/2016 0:00:00,2,,,0.710465330000000,02060003000723,1,,460,46006,0,1,0,0.006888593214376,10000400010274.000000000000000,0206,1
31249,125920597,3/9/2012 10:35:28,2,,,0.013000000000000,02060003008375,1,,460,46006,0,1,0,0.000122903195672,10000400005600.000000000000000,0206,1
