OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,Shape_Length,NHDPlusID,VPUID,Enabled
3411,125915393,3/9/2012 10:35:42,2,,,0.243000000000000,02060003007175,1,,460,46006,0,1,0,0.002664478768042,10000400028511.000000000000000,0206,1
3711,125915387,3/9/2012 10:33:58,2,,,1.167000000000000,02060003007173,1,,460,46006,0,1,0,0.010727433420923,10000400023921.000000000000000,0206,1
4150,125915388,3/9/2012 10:34:19,2,00586788,Red Run,0.651000000000000,02060003000731,1,,460,46006,0,1,0,0.006053061747196,10000400028512.000000000000000,0206,1
4543,125915392,3/9/2012 10:34:19,2,00586788,Red Run,2.539000000000000,02060003000731,1,,460,46006,0,1,0,0.024984448478452,10000400023839.000000000000000,0206,1
4544,125915385,3/9/2012 10:34:21,2,00586788,Red Run,0.753000000000000,02060003000729,1,,460,46006,0,1,0,0.008504106573160,10000400023840.000000000000000,0206,1
7460,125915530,3/9/2012 10:32:55,2,00583877,Cooks Branch,2.826000000000000,02060003000595,1,,460,46006,0,1,0,0.031491207702298,10000400028367.000000000000000,0206,1
8869,125915666,3/9/2012 10:33:58,2,,,0.098000000000000,02060003007173,1,125915285,558,55800,0,1,0,0.000994773689041,10000400028583.000000000000000,0206,1
9409,125915525,3/9/2012 10:34:25,2,,,1.125000000000000,02060003007223,1,,460,46006,0,1,0,0.011784907808827,10000400033122.000000000000000,0206,1
10065,125915519,3/9/2012 10:34:21,2,00586788,Red Run,1.871000000000000,02060003000729,1,,460,46006,0,1,0,0.019036029860815,10000400033260.000000000000000,0206,1
16922,125915580,3/9/2012 10:32:34,2,,,0.841000000000000,02060003000733,1,,460,46006,0,1,0,0.008642654534983,10000400019156.000000000000000,0206,1
16923,125915407,3/9/2012 10:34:19,2,00586788,Red Run,1.272000000000000,02060003000731,1,,460,46006,0,1,0,0.012073943057839,10000400019157.000000000000000,0206,1
22921,125915408,3/9/2012 10:35:45,2,,,1.260000000000000,02060003007184,1,,460,46006,0,1,0,0.013439730289880,10000400014487.000000000000000,0206,1
23302,125915397,3/9/2012 10:35:22,2,,,0.955000000000000,02060003007177,1,,460,46006,0,1,0,0.009205596265748,10000400009856.000000000000000,0206,1
23303,125915386,3/9/2012 10:35:12,2,00586788,Red Run,0.313000000000000,02060003000730,1,,460,46006,0,1,0,0.003241046753285,10000400009858.000000000000000,0206,1
29243,125915518,3/9/2012 10:35:41,2,00583757,Chimney Branch,1.078000000000000,02060003000598,1,,460,46006,0,1,0,0.012151171835385,10000400000507.000000000000000,0206,1
29918,125915371,3/9/2012 10:34:19,2,,,1.990000000000000,02060003000734,1,,460,46006,0,1,0,0.021930332575191,10000400014563.000000000000000,0206,1
29920,125915398,3/9/2012 10:34:57,2,,,0.667000000000000,02060003007178,1,,460,46006,0,1,0,0.007046489575513,10000400014565.000000000000000,0206,1
31144,125915376,6/10/2016 0:00:00,2,00586788,Red Run,2.223107330000000,02060003000728,1,,460,46006,0,1,0,0.024681125161968,10000400005250.000000000000000,0206,1
33593,125915381,3/9/2012 10:32:34,2,,,1.532000000000000,02060003000733,1,,460,46006,0,1,0,0.016272590519688,10000400028429.000000000000000,0206,1
35311,125915520,3/9/2012 10:32:22,2,,,1.299000000000000,02060003000732,1,,460,46006,0,1,0,0.014463398481143,10000400009857.000000000000000,0206,1
36162,125915390,3/9/2012 10:32:22,2,,,1.683000000000000,02060003000732,1,,460,46006,0,1,0,0.015980050545849,10000400019094.000000000000000,0206,1
