OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,Shape_Length,NHDPlusID,VPUID,Enabled
3712,125915410,3/9/2012 10:34:28,2,,,0.752000000000000,02060003007185,1,,460,46006,0,1,0,0.008333206941880,10000400023922.000000000000000,0206,1
4545,125915615,6/10/2016 0:00:00,2,,,1.441866310000000,02060003007247,1,,460,46006,0,1,0,0.016350854398813,10000400023841.000000000000000,0206,1
7001,125915416,3/9/2012 10:32:50,2,00597508,Gwynns Falls,0.701000000000000,02060003000202,1,,460,46006,0,1,0,0.006512785380019,10000400033341.000000000000000,0206,1
7002,125915529,3/9/2012 10:33:21,2,00597508,Gwynns Falls,0.032000000000000,02060003000200,1,,460,46006,0,1,0,0.000359732819742,10000400033342.000000000000000,0206,1
7003,125915592,3/9/2012 10:31:53,2,,,0.020000000000000,02060003007241,1,,460,46006,0,1,0,0.000186278708245,10000400033343.000000000000000,0206,1
7004,125915415,3/9/2012 10:35:23,2,,,0.450000000000000,02060003000726,1,,460,46006,0,1,0,0.004790704106098,10000400033344.000000000000000,0206,1
7005,125915432,3/9/2012 10:34:30,2,,,0.385000000000000,02060003007194,1,,460,46006,0,1,0,0.003667300827506,10000400033345.000000000000000,0206,1
7744,125915446,3/9/2012 10:34:34,2,,,0.638000000000000,02060003007200,1,,460,46006,0,1,0,0.007232586415306,10000400033346.000000000000000,0206,1
9067,125915403,3/9/2012 10:33:55,2,,,0.893000000000000,02060003007182,1,,460,46006,0,1,0,0.009801150896305,10000400023923.000000000000000,0206,1
9068,125915425,3/9/2012 10:32:50,2,00597508,Gwynns Falls,1.020000000000000,02060003000202,1,,460,46006,0,1,0,0.011408849227155,10000400023924.000000000000000,0206,1
9105,125915394,3/9/2012 10:33:21,2,00597508,Gwynns Falls,0.337000000000000,02060003000200,1,,460,46006,0,1,0,0.003179643486214,10000400024006.000000000000000,0206,1
9106,125915576,3/9/2012 10:35:23,2,,,0.061000000000000,02060003000726,1,,460,46006,0,1,0,0.000712577314940,10000400024007.000000000000000,0206,1
9414,125915404,3/9/2012 10:33:12,2,,,0.665000000000000,02060003000727,1,,460,46006,0,1,0,0.007678789185235,10000400033263.000000000000000,0206,1
