OBJECTID,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,LengthKM,ReachCode,FlowDir,WBArea_Permanent_Identifier,FType,FCode,MainPath,InNetwork,VisibilityFilter,Shape_Length,NHDPlusID,VPUID,Enabled
7001,125915416,3/9/2012 10:32:50,2,00597508,Gwynns Falls,0.701000000000000,02060003000202,1,,460,46006,0,1,0,0.006512785380019,10000400033341.000000000000000,0206,1
9068,125915425,3/9/2012 10:32:50,2,00597508,Gwynns Falls,1.020000000000000,02060003000202,1,,460,46006,0,1,0,0.011408849227155,10000400023924.000000000000000,0206,1
9105,125915394,3/9/2012 10:33:21,2,00597508,Gwynns Falls,0.337000000000000,02060003000200,1,,460,46006,0,1,0,0.003179643486214,10000400024006.000000000000000,0206,1
9845,125915549,3/9/2012 10:32:50,2,00597508,Gwynns Falls,1.085000000000000,02060003000202,1,,460,46006,0,1,0,0.011935169789342,10000400023842.000000000000000,0206,1
11380,125915422,3/9/2012 10:32:50,2,00597508,Gwynns Falls,0.262000000000000,02060003000202,1,,460,46006,0,1,0,0.002631715006020,10000400028660.000000000000000,0206,1
17856,125915427,3/9/2012 10:32:50,2,00597508,Gwynns Falls,0.825000000000000,02060003000202,1,,460,46006,0,1,0,0.008211734963491,10000400009938.000000000000000,0206,1
21471,125915597,6/10/2016 0:00:00,2,00597508,Gwynns Falls,0.398043910000000,02060003000200,1,,460,46006,0,1,0,0.003558520553219,10000400010023.000000000000000,0206,1
21472,125915584,6/10/2016 0:00:00,2,00597508,Gwynns Falls,1.307323730000000,02060003000200,1,,460,46006,0,1,0,0.012675228680015,10000400010024.000000000000000,0206,1
26986,125915527,3/9/2012 10:33:21,2,00597508,Gwynns Falls,1.446000000000000,02060003000200,1,,460,46006,0,1,0,0.014607421187735,10000400000717.000000000000000,0206,1
26987,125915531,3/9/2012 10:35:05,2,00597508,Gwynns Falls,1.105000000000000,02060003000201,1,,460,46006,0,1,0,0.010065211690191,10000400000718.000000000000000,0206,1
27347,125915401,3/9/2012 10:33:21,2,00597508,Gwynns Falls,0.234000000000000,02060003000200,1,,460,46006,0,1,0,0.002320720930180,10000400000720.000000000000000,0206,1
27745,125915528,3/9/2012 10:33:21,2,00597508,Gwynns Falls,0.862000000000000,02060003000200,1,,460,46006,0,1,0,0.009240307580116,10000400014732.000000000000000,0206,1
30312,125915609,3/9/2012 10:32:50,2,00597508,Gwynns Falls,1.542000000000000,02060003000202,1,,460,46006,0,1,0,0.015751782036763,10000400014566.000000000000000,0206,1
32363,125915873,3/9/2012 10:35:32,2,,,2.752000000000000,02060003000776,1,,460,46006,0,1,0,0.027055903194245,10000400014899.000000000000000,0206,1
