,agency_cd,site_no,Date,Q,Flow_Inst_cd,tz_cd
1,USGS,1589352,1/30/2013 0:05,48.5,A,UTC
2,USGS,1589352,1/30/2013 0:10,50,A,UTC
3,USGS,1589352,1/30/2013 0:15,48.5,A,UTC
4,USGS,1589352,1/30/2013 0:20,50,A,UTC
5,USGS,1589352,1/30/2013 0:25,50,A,UTC
6,USGS,1589352,1/30/2013 0:30,50,A,UTC
7,USGS,1589352,1/30/2013 0:35,50,A,UTC
8,USGS,1589352,1/30/2013 0:40,51.5,A,UTC
9,USGS,1589352,1/30/2013 0:45,51.5,A,UTC
10,USGS,1589352,1/30/2013 0:50,50,A,UTC
11,USGS,1589352,1/30/2013 0:55,51.5,A,UTC
12,USGS,1589352,1/30/2013 1:00,50,A,UTC
13,USGS,1589352,1/30/2013 1:05,50,A,UTC
14,USGS,1589352,1/30/2013 1:10,50,A,UTC
15,USGS,1589352,1/30/2013 1:15,50,A,UTC
16,USGS,1589352,1/30/2013 1:20,48.5,A,UTC
17,USGS,1589352,1/30/2013 1:25,50,A,UTC
18,USGS,1589352,1/30/2013 1:30,50,A,UTC
19,USGS,1589352,1/30/2013 1:35,50,A,UTC
20,USGS,1589352,1/30/2013 1:40,50,A,UTC
21,USGS,1589352,1/30/2013 1:45,50,A,UTC
22,USGS,1589352,1/30/2013 1:50,50,A,UTC
23,USGS,1589352,1/30/2013 1:55,48.5,A,UTC
24,USGS,1589352,1/30/2013 2:00,48.5,A,UTC
25,USGS,1589352,1/30/2013 2:05,50,A,UTC
26,USGS,1589352,1/30/2013 2:10,50,A,UTC
27,USGS,1589352,1/30/2013 2:15,48.5,A,UTC
28,USGS,1589352,1/30/2013 2:20,48.5,A,UTC
29,USGS,1589352,1/30/2013 2:25,48.5,A,UTC
30,USGS,1589352,1/30/2013 2:30,48.5,A,UTC
31,USGS,1589352,1/30/2013 2:35,48.5,A,UTC
32,USGS,1589352,1/30/2013 2:40,50,A,UTC
33,USGS,1589352,1/30/2013 2:45,48.5,A,UTC
34,USGS,1589352,1/30/2013 2:50,48.5,A,UTC
35,USGS,1589352,1/30/2013 2:55,47,A,UTC
36,USGS,1589352,1/30/2013 3:00,48.5,A,UTC
37,USGS,1589352,1/30/2013 3:05,50,A,UTC
38,USGS,1589352,1/30/2013 3:10,48.5,A,UTC
39,USGS,1589352,1/30/2013 3:15,47,A,UTC
40,USGS,1589352,1/30/2013 3:20,48.5,A,UTC
41,USGS,1589352,1/30/2013 3:25,50,A,UTC
42,USGS,1589352,1/30/2013 3:30,48.5,A,UTC
43,USGS,1589352,1/30/2013 3:35,48.5,A,UTC
44,USGS,1589352,1/30/2013 3:40,48.5,A,UTC
45,USGS,1589352,1/30/2013 3:45,48.5,A,UTC
46,USGS,1589352,1/30/2013 3:50,48.5,A,UTC
47,USGS,1589352,1/30/2013 3:55,47,A,UTC
48,USGS,1589352,1/30/2013 4:00,48.5,A,UTC
49,USGS,1589352,1/30/2013 4:05,50,A,UTC
50,USGS,1589352,1/30/2013 4:10,48.5,A,UTC
51,USGS,1589352,1/30/2013 4:15,48.5,A,UTC
52,USGS,1589352,1/30/2013 4:20,48.5,A,UTC
53,USGS,1589352,1/30/2013 4:25,50,A,UTC
54,USGS,1589352,1/30/2013 4:30,50,A,UTC
55,USGS,1589352,1/30/2013 4:35,48.5,A,UTC
56,USGS,1589352,1/30/2013 4:40,48.5,A,UTC
57,USGS,1589352,1/30/2013 4:45,48.5,A,UTC
58,USGS,1589352,1/30/2013 4:50,50,A,UTC
59,USGS,1589352,1/30/2013 4:55,50,A,UTC
60,USGS,1589352,1/30/2013 5:00,48.5,A,UTC
61,USGS,1589352,1/30/2013 5:05,50,A,UTC
62,USGS,1589352,1/30/2013 5:10,50,A,UTC
63,USGS,1589352,1/30/2013 5:15,48.5,A,UTC
64,USGS,1589352,1/30/2013 5:20,50,A,UTC
65,USGS,1589352,1/30/2013 5:25,50,A,UTC
66,USGS,1589352,1/30/2013 5:30,48.5,A,UTC
67,USGS,1589352,1/30/2013 5:35,50,A,UTC
68,USGS,1589352,1/30/2013 5:40,50,A,UTC
69,USGS,1589352,1/30/2013 5:45,50,A,UTC
70,USGS,1589352,1/30/2013 5:50,48.5,A,UTC
71,USGS,1589352,1/30/2013 5:55,50,A,UTC
72,USGS,1589352,1/30/2013 6:00,48.5,A,UTC
73,USGS,1589352,1/30/2013 6:05,50,A,UTC
74,USGS,1589352,1/30/2013 6:10,50,A,UTC
75,USGS,1589352,1/30/2013 6:15,51.5,A,UTC
76,USGS,1589352,1/30/2013 6:20,51.5,A,UTC
77,USGS,1589352,1/30/2013 6:25,50,A,UTC
78,USGS,1589352,1/30/2013 6:30,48.5,A,UTC
79,USGS,1589352,1/30/2013 6:35,48.5,A,UTC
80,USGS,1589352,1/30/2013 6:40,50,A,UTC
81,USGS,1589352,1/30/2013 6:45,48.5,A,UTC
82,USGS,1589352,1/30/2013 6:50,50,A,UTC
83,USGS,1589352,1/30/2013 6:55,48.5,A,UTC
84,USGS,1589352,1/30/2013 7:00,50,A,UTC
85,USGS,1589352,1/30/2013 7:05,51.5,A,UTC
86,USGS,1589352,1/30/2013 7:10,50,A,UTC
87,USGS,1589352,1/30/2013 7:15,50,A,UTC
88,USGS,1589352,1/30/2013 7:20,50,A,UTC
89,USGS,1589352,1/30/2013 7:25,50,A,UTC
90,USGS,1589352,1/30/2013 7:30,51.5,A,UTC
91,USGS,1589352,1/30/2013 7:35,51.5,A,UTC
92,USGS,1589352,1/30/2013 7:40,51.5,A,UTC
93,USGS,1589352,1/30/2013 7:45,50,A,UTC
94,USGS,1589352,1/30/2013 7:50,50,A,UTC
95,USGS,1589352,1/30/2013 7:55,50,A,UTC
96,USGS,1589352,1/30/2013 8:00,51.5,A,UTC
97,USGS,1589352,1/30/2013 8:05,50,A,UTC
98,USGS,1589352,1/30/2013 8:10,50,A,UTC
99,USGS,1589352,1/30/2013 8:15,51.5,A,UTC
100,USGS,1589352,1/30/2013 8:20,51.5,A,UTC
101,USGS,1589352,1/30/2013 8:25,51.5,A,UTC
102,USGS,1589352,1/30/2013 8:30,50,A,UTC
103,USGS,1589352,1/30/2013 8:35,51.5,A,UTC
104,USGS,1589352,1/30/2013 8:40,50,A,UTC
105,USGS,1589352,1/30/2013 8:45,50,A,UTC
106,USGS,1589352,1/30/2013 8:50,50,A,UTC
107,USGS,1589352,1/30/2013 8:55,51.5,A,UTC
108,USGS,1589352,1/30/2013 9:00,51.5,A,UTC
109,USGS,1589352,1/30/2013 9:05,50,A,UTC
110,USGS,1589352,1/30/2013 9:10,51.5,A,UTC
111,USGS,1589352,1/30/2013 9:15,50,A,UTC
